2025-12-17 17:49:19,381 | INFO | app_logger | Приложение запущено
2025-12-17 17:49:25,696 | INFO | app_logger | Объект перемещён
2025-12-17 17:49:35,386 | INFO | app_logger | Объект перемещён
2025-12-17 17:49:36,940 | INFO | app_logger | Удалён объект id=2
2025-12-17 17:49:39,066 | INFO | app_logger | Удалён объект id=1
2025-12-17 17:49:43,595 | INFO | app_logger | Приложение запущено
2025-12-17 17:51:29,527 | INFO | app_logger | Приложение запущено
2025-12-17 17:51:32,344 | INFO | app_logger | Смена языка на: en
2025-12-17 17:51:35,739 | INFO | app_logger | Смена языка на: by
2025-12-17 17:51:37,953 | INFO | app_logger | Смена языка на: ru
2025-12-17 18:00:23,199 | INFO | app_logger | Приложение запущено
2025-12-17 18:00:26,029 | INFO | app_logger | Фон холста установлен программно: #b091a8
2025-12-17 18:00:26,029 | INFO | app_logger | Изменён цвет фона холста: #b091a8
2025-12-17 18:00:43,486 | INFO | app_logger | Приложение запущено
2025-12-17 18:00:46,008 | INFO | app_logger | Изменён цвет фона холста: #72b4cf
2025-12-17 18:01:00,185 | INFO | app_logger | Объект перемещён
2025-12-17 18:01:01,323 | INFO | app_logger | Объект перемещён
2025-12-17 18:01:02,102 | INFO | app_logger | Объект перемещён
2025-12-17 18:01:17,217 | INFO | app_logger | Удалён объект id=6
2025-12-17 18:01:18,808 | INFO | app_logger | Удалён объект id=5
2025-12-17 18:01:24,707 | INFO | app_logger | Объект перемещён
2025-12-17 18:01:57,412 | INFO | app_logger | Приложение запущено
2025-12-17 18:02:00,406 | INFO | app_logger | Обновлён текст по умолчанию: 'dsgsg'
2025-12-17 18:02:00,407 | INFO | app_logger | Создан текстовый блок id=1, текст='dsgsg', шрифт=('Helvetica', 14), цвет=black
2025-12-17 18:02:09,416 | INFO | app_logger | Изменён шрифт текста id=1 на 'Courier'
2025-12-17 18:02:14,323 | INFO | app_logger | Изменён цвет текста id=1 на #7cc592
2025-12-17 18:02:24,240 | INFO | app_logger | Изменён размер текста id=1 на 20
2025-12-17 18:02:54,387 | INFO | app_logger | Приложение запущено
2025-12-17 18:02:57,501 | INFO | app_logger | Изменён цвет фона холста: #768dcb
2025-12-17 18:03:09,530 | INFO | app_logger | Холст сохранён: C:/Users/tely5/Downloads/цау.json
2025-12-17 18:03:09,530 | INFO | app_logger | Холст очищен пользователем
2025-12-17 18:12:08,566 | INFO | app_logger | Приложение запущено
2025-12-17 18:12:10,864 | INFO | app_logger | Изменён цвет фона холста: #af7ac7
2025-12-17 18:12:13,767 | INFO | app_logger | Создана фигура: type=rectangle, id=1
2025-12-17 18:12:17,682 | INFO | app_logger | Создана фигура: type=oval, id=2
2025-12-17 18:12:25,473 | INFO | app_logger | Изменён размер фигуры (прямоугольник/овал) id=1, ширина=400, высота=200
2025-12-17 18:12:59,779 | INFO | app_logger | Приложение запущено
2025-12-17 18:13:03,150 | INFO | app_logger | Изменён цвет фона холста: #b971d0
2025-12-17 18:13:04,210 | INFO | app_logger | Создана фигура: type=rectangle, id=1
2025-12-17 18:13:12,281 | INFO | app_logger | Изменён размер фигуры type=rectangle, id=1, w=400, h=200
2025-12-17 18:14:38,523 | INFO | app_logger | Приложение запущено
2025-12-17 18:14:40,684 | INFO | app_logger | Создана фигура: type=rectangle, id=1
2025-12-17 18:14:44,729 | INFO | app_logger | Изменён цвет заливки фигуры id=1 на #87baba
2025-12-17 18:14:49,227 | INFO | app_logger | Изменён цвет контура фигуры id=1 на #c17dc4
2025-12-17 18:14:58,711 | INFO | app_logger | Изменён размер фигуры type=rectangle, id=1, ширина=100, высота=200
2025-12-18 00:34:54,951 | INFO | app_logger | Приложение запущено
2025-12-18 00:36:02,637 | INFO | app_logger | Приложение запущено
2025-12-18 00:36:15,705 | INFO | app_logger | Изменён цвет фона холста: #adb889
2025-12-18 00:43:07,907 | INFO | app_logger | Приложение запущено
2025-12-18 00:43:09,564 | INFO | app_logger | Подключение к серверу
2025-12-18 00:43:19,980 | INFO | app_logger | Приложение запущено
2025-12-18 00:43:21,541 | INFO | app_logger | Подключение к серверу
2025-12-18 00:43:26,995 | INFO | app_logger | Изменён цвет фона холста: #a895ac
2025-12-18 00:43:29,320 | INFO | app_logger | Создана фигура: type=line, id=1
2025-12-18 00:43:31,062 | INFO | app_logger | Создана фигура: type=line, id=2
2025-12-18 00:43:34,679 | INFO | app_logger | Объект перемещён
2025-12-18 00:43:36,174 | INFO | app_logger | Объект перемещён
2025-12-18 01:30:07,411 | INFO | app_logger | Приложение запущено
2025-12-18 01:30:34,047 | INFO | app_logger | Приложение запущено
2025-12-18 01:30:35,596 | INFO | app_logger | Подключение к серверу
2025-12-18 01:30:39,249 | INFO | app_logger | Подключение к серверу
2025-12-18 01:30:42,211 | INFO | app_logger | Подключение к серверу
2025-12-18 01:30:43,340 | INFO | app_logger | Подключение к серверу
2025-12-18 01:30:53,732 | INFO | app_logger | Приложение запущено
2025-12-18 01:30:55,983 | INFO | app_logger | Подключение к серверу
2025-12-18 01:30:57,324 | INFO | app_logger | Отключение от сервера
2025-12-18 01:31:00,992 | INFO | app_logger | Подключение к серверу
2025-12-18 01:31:03,006 | INFO | app_logger | Отключение от сервера
2025-12-18 05:39:59,335 | INFO | app_logger | Приложение запущено
2025-12-18 05:40:01,156 | INFO | app_logger | Подключение к серверу
2025-12-18 05:40:02,496 | INFO | app_logger | Отключение от сервера
2025-12-18 05:40:06,854 | INFO | app_logger | Подключение к серверу
2025-12-18 05:40:28,081 | INFO | app_logger | Приложение запущено
2025-12-18 05:40:29,712 | INFO | app_logger | Подключение к серверу
2025-12-18 05:40:35,301 | INFO | app_logger | Изменён цвет фона холста: #8498bd
2025-12-18 05:40:47,392 | INFO | app_logger | Смена языка на: by
2025-12-18 05:41:08,290 | INFO | app_logger | Приложение запущено
2025-12-18 05:41:09,557 | INFO | app_logger | Подключение к серверу
2025-12-18 05:42:11,184 | INFO | app_logger | Приложение запущено
2025-12-18 05:42:12,402 | INFO | app_logger | Подключение к серверу
2025-12-18 05:42:15,906 | INFO | app_logger | Отключение от сервера
2025-12-18 05:43:55,033 | INFO | app_logger | Приложение запущено
2025-12-18 05:43:57,904 | INFO | app_logger | Подключение к серверу
2025-12-18 05:43:59,548 | INFO | app_logger | Отключение от сервера
